latitude,longitude,number,time,step,surface,valid_time,tcch4,tcco2,aco2rec,aco2gpp,aco2nee,fco2rec,fco2gpp,fco2nee,ch4f,co2of,co2fire,ch4fire
29.133,76.607,0,2020-12-31,0 days,0.0,2020-12-31,1890.2102,416.23627,0.0,0.0,0.0,-3.1010746e-08,0.0,-3.9693987e-08,-3.3288472e-10,0.0,3.391186e-11,2.181354e-13
29.133,77.357,0,2020-12-31,0 days,0.0,2020-12-31,1892.8168,416.44406,0.0,0.0,0.0,-3.2990148e-08,0.0,-4.0937152e-08,-7.858303e-10,0.0,2.0905794e-10,1.344737e-12
28.383,76.607,0,2020-12-31,0 days,0.0,2020-12-31,1888.3556,415.88467,0.0,0.0,0.0,-3.2863046e-08,0.0,-4.2063107e-08,-3.756534e-10,0.0,3.0765668e-12,1.9811843e-14
28.383,77.357,0,2020-12-31,0 days,0.0,2020-12-31,1892.4833,416.27188,0.0,0.0,0.0,-3.350924e-08,0.0,-4.289427e-08,-1.948543e-09,0.0,4.311826e-11,2.7757592e-13
27.633,76.607,0,2020-12-31,0 days,0.0,2020-12-31,1887.4502,415.7057,0.0,0.0,0.0,-3.172936e-08,0.0,-4.059757e-08,-1.4360746e-10,0.0,0.0,0.0
27.633,77.357,0,2020-12-31,0 days,0.0,2020-12-31,1891.6055,416.01718,0.0,0.0,0.0,-3.508642e-08,0.0,-4.4902663e-08,-2.5783076e-10,0.0,0.0,0.0
